availability,image_url,price,rating,title
instock,media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg,£51.77,Three,A Light in the Attic
instock,media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg,£53.74,One,Tipping the Velvet
instock,media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg,£50.10,One,Soumission
instock,media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,£47.82,Four,Sharp Objects
instock,media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg,£54.23,Five,Sapiens: A Brief History of Humankind
instock,media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg,£22.65,One,The Requiem Red
instock,media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg,£33.34,Four,The Dirty Little Secrets of Getting Your Dream Job
instock,media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg,£17.93,Three,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull"
instock,media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg,£22.60,Four,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics
instock,media/cache/58/46/5846057e28022268153beff6d352b06c.jpg,£52.15,One,The Black Maria
instock,media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg,£13.99,Two,"Starving Hearts (Triangular Trade Trilogy, #1)"
instock,media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg,£20.66,Four,Shakespeare's Sonnets
instock,media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg,£17.46,Five,Set Me Free
instock,media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg,£52.29,Five,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)
instock,media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg,£35.02,Five,Rip it Up and Start Again
instock,media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg,£57.25,Three,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991"
instock,media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg,£23.88,One,Olio
instock,media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg,£37.59,One,Mesaerion: The Best Science Fiction Stories 1800-1849
instock,media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg,£51.33,Two,Libertarianism for Beginners
instock,media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg,£45.17,Two,It's Only the Himalayas
